id;numeroclient;nom;prenom;adresse;telephone
1;40097;calculate;Lettonie;Fresh Handcrafted Loire;0682373923
2;31201;c Market a;Nord-Pas-de-Calais Handcrafted;c online;+33 288244750
3;80200;c;Licensed;uniform content;+33 181211490
4;69966;multi-byte Mouse Sainte-Lucie;Ergonomic Avon;paradigms transitional Multi-layered;+33 389223083
5;45690;encoding Canada;b a;payment;0759888293
6;62983;Plastic Small;Automotive Fantastic Ball;Pants;0553512793
7;53007;Cambridgeshire Cotton;wireless COM Licensed;Superviseur Account b;0360007649
8;91676;Harpe matrix;IB array technologies;expedite Bedfordshire Coordinateur;0618654518
9;15234;a reintermediate e-business;calculate Shoes;hack synthesize alarm;0273127665
10;34169;Handmade;Rubber;Ruble Corse;+33 148518664
